Spell check for text in 6kmat-2019.txt
[0] kandidatprogram: kandidatprogrammet, klimatprogram, kändisprogram, 
[0] 180: e18, s80, e10, 
[8] strålbehand: strålande, stålbad, strålglans, 
[17] matematikprogrammet: estetikprogrammet, teknikprogrammet, trafikprogrammet, 
[20] matik: malik, matin, masik, 
[23] vetenskapsmetodik: vetenskapsteori, vetenskapsteorin, vetenskapshistoria, 
[27] datalogi: katalog, patologi, catalog, 
[28] modellering: modellerna, moderering, modellen, 
[42] matematikprogrammet: estetikprogrammet, teknikprogrammet, trafikprogrammet, 
[43] problemlösnings: problemlösning, problemlösningar, problemlösningen, 
[43] ringskunskaper: minuskunskaper, ämneskunskaper, grundkunskaper, 
[54] försäkringspremiens: försäkringspremien, försäkringspremie, försäkringspremier, 
[56] materialförsörjning: materielförsörjning, matförsörjning, kapitalförsörjning, 
[57] modellutveckling: modellutvecklingen, mobilutveckling, värdeutveckling, 
