Spell check for text in kort2.txt
[1] högga: höga, högra, högg, 
[1] tråts: trots, trits, årets, 
[3] totalförstörelse: totalförstördes, totalförstörts, totalförstörde, 
[5] säjer: säger, säker, säljer, 
[6] gallet: fallet, galet, galler, 
[8] huvudtornen: huvudorten, huvudformen, huvudtorget, 
[9] redda: rädda, reda, breda, 
[10] klocktornen: klocktornet, klocktorn, klockren, 
[12] 400: v40, s400, i40, 
[13] uppeges: uppges, uppger, uppge, 
[15] visadee: visade, visades, utvisad, 
[16] himle: himlen, chile, himla, 
[16] 1100: s100, v110, x100, 
[16] talskatedralen: paulskatedralen, pauls-katedralen, katedralen, 
