Spell check for text in lang2.txt
[5] såmmaren: sommaren, simmaren, sommarens, 
[11] nogon: någon, noon, nogot, 
[11] sekerhetskonroller: säkerhetskontroller, säkerhetskontrollen, säkerhetskontroll, 
[15] säkerhetslag: säkerhetssal, säkerhetsbolag, säkerhetslarm, 
[19] åm: på, om, så, 
[25] säkerhetslag: säkerhetssal, säkerhetsbolag, säkerhetslarm, 
[25] 2017: k2a1, 20:e, g20, 
[25] tplkats: tolkats, plats, tolkas, 
[31] finlendska: finländska, finländske, finländsk, 
[40] urustning: utrustning, rustning, upprustning, 
[41] chefleden: chefsleden, chefsledet, chefen, 
[44] utrycks: trycks, uttrycks, utryckt, 
[48] heltäckning: betäckning, taltäckning, täckning, 
[50] vraa: vrak, vraka, evra, 
[55] kinaforskare: klimatforskare, skolforskare, sömnforskare, 
[56] melllan: mellan, emellan, ­mellan, 
[56] föertag: föeretag, företag, flertal, 
[56] mde: de, me, öde, 
[56] förgreingar: förgreningar, föroreningar, förringar, 
[57] helkinesiska: kinesiska, östkinesiska, sydkinesiska, 
[64] doterbolag: dotterbolag, moderbolag, underbolag, 
[69] huvukontor: huvudkontor, huvudkonto, huvudkontors, 
[70] glåbala: globala, global, globalt, 
[70] utvädrera: utvärdera, utvärderas, utvärderar, 
[71] skrivr: skriver, skriva, skrivs, 
[73] prosesser: processer, professor, processen, 
[74] affärsemligheter: affärshemligheter, affärshemligheter@, affärsmöjligheter, 
[81] kinesisika: kinesiska, kinesisk, kinesiskt, 
[81] myndihgeter: myndigeter, myndigheter, myndigheten, 
[84] avlyssnande: avlyssnade, avlyssnandet, avlyssnad, 
[85] internationellla: internationella, ­internationella, internationell, 
[85] teknikprodukter: denimprodukter, mejeriprodukter, hygienprodukter, 
[89] ennligtt: enligt, ensligt, sinnligt, 
[89] lysne: lyste, lynne, lyse, 
