Spell check for text in mellan2.txt
[1] ptta: åtta, etta, peta, 
[2] trir: tror, trio, trier, 
[5] bercow: beror, bero, serco, 
[5] brexitförslag: textförslag, budgetförslag, prisförslag, 
[6] åm: på, om, så, 
[7] rtt: att, att, ett, 
[8] smo: små, sms, sm, 
[8] laddes: lades, leddes, laddas, 
[10] 12: p1, k1, m2, 
[20] fötslag: förslag, förlag, utslag, 
[24] rror: tror, bror, ror, 
[26] trttio: trettio, fyrtio, trio, 
[26] premiäminister: premiärminister, premiäministern, premiärministern, 
[28] brexitörerna: direktörerna, servitörerna, kreatörerna, 
[29] kavr: ökar, ekar, skar, 
[34] omröstinngen: omröstningen, omröstning, korsningen, 
[34] mne: one, me, ämne, 
[35] skolle: skulle, skalle, skole, 
[36] beslutt: beslut, beslutet, beslutat, 
[37] brexitanhängarna: mursianhängarna, mursi-anhängarna, mursianhängarnas, 
